Date,State,District,Disease,Cases,Deaths
2023-11-12,Maharashtra,Dharashiv,Dengue,18,0
2023-11-19,Maharashtra,Dharashiv,Dengue,23,0
2023-11-26,Maharashtra,Dharashiv,Dengue,16,0
2023-12-03,Maharashtra,Dharashiv,Dengue,19,0
2023-12-10,Maharashtra,Dharashiv,Dengue,12,0
2023-12-17,Maharashtra,Dharashiv,Dengue,15,0
2023-12-24,Maharashtra,Dharashiv,Dengue,10,0
2023-12-31,Maharashtra,Dharashiv,Dengue,12,0
2024-01-07,Maharashtra,Dharashiv,Dengue,9,0
2024-01-14,Maharashtra,Dharashiv,Dengue,10,0
2024-01-21,Maharashtra,Dharashiv,Dengue,5,0
2024-01-28,Maharashtra,Dharashiv,Dengue,1,0
2024-02-04,Maharashtra,Dharashiv,Dengue,4,0
2024-02-11,Maharashtra,Dharashiv,Dengue,1,0
2024-02-18,Maharashtra,Dharashiv,Dengue,1,0
2024-02-25,Maharashtra,Dharashiv,Dengue,1,0
2024-03-03,Maharashtra,Dharashiv,Dengue,2,0
2024-03-10,Maharashtra,Dharashiv,Dengue,5,0
2024-03-17,Maharashtra,Dharashiv,Dengue,5,0
2024-03-24,Maharashtra,Dharashiv,Dengue,10,0
2024-03-31,Maharashtra,Dharashiv,Dengue,11,0
2024-04-07,Maharashtra,Dharashiv,Dengue,9,0
2024-04-14,Maharashtra,Dharashiv,Dengue,13,0
2024-04-21,Maharashtra,Dharashiv,Dengue,15,0
2024-04-28,Maharashtra,Dharashiv,Dengue,10,0
2024-05-05,Maharashtra,Dharashiv,Dengue,13,0
2024-05-12,Maharashtra,Dharashiv,Dengue,19,0
2024-05-19,Maharashtra,Dharashiv,Dengue,17,0
2024-05-26,Maharashtra,Dharashiv,Dengue,20,0
2024-06-02,Maharashtra,Dharashiv,Dengue,21,0
2024-06-09,Maharashtra,Dharashiv,Dengue,24,1
2024-06-16,Maharashtra,Dharashiv,Dengue,23,0
2024-06-23,Maharashtra,Dharashiv,Dengue,24,1
2024-06-30,Maharashtra,Dharashiv,Dengue,28,0
2024-07-07,Maharashtra,Dharashiv,Dengue,30,1
2024-07-14,Maharashtra,Dharashiv,Dengue,30,0
2024-07-21,Maharashtra,Dharashiv,Dengue,33,1
2024-07-28,Maharashtra,Dharashiv,Dengue,34,0
2024-08-04,Maharashtra,Dharashiv,Dengue,37,0
2024-08-11,Maharashtra,Dharashiv,Dengue,30,0
2024-08-18,Maharashtra,Dharashiv,Dengue,36,0
2024-08-25,Maharashtra,Dharashiv,Dengue,32,0
2024-09-01,Maharashtra,Dharashiv,Dengue,32,0
2024-09-08,Maharashtra,Dharashiv,Dengue,33,0
2024-09-15,Maharashtra,Dharashiv,Dengue,32,1
2024-09-22,Maharashtra,Dharashiv,Dengue,99,4
2024-09-29,Maharashtra,Dharashiv,Dengue,32,0
2024-10-06,Maharashtra,Dharashiv,Dengue,29,0
2024-10-13,Maharashtra,Dharashiv,Dengue,25,0
2024-10-20,Maharashtra,Dharashiv,Dengue,23,0
2024-10-27,Maharashtra,Dharashiv,Dengue,25,0
2024-11-03,Maharashtra,Dharashiv,Dengue,20,0
2024-11-10,Maharashtra,Dharashiv,Dengue,22,0
2024-11-17,Maharashtra,Dharashiv,Dengue,20,0
2024-11-24,Maharashtra,Dharashiv,Dengue,14,0
2024-12-01,Maharashtra,Dharashiv,Dengue,16,0
2024-12-08,Maharashtra,Dharashiv,Dengue,11,0
2024-12-15,Maharashtra,Dharashiv,Dengue,11,0
2024-12-22,Maharashtra,Dharashiv,Dengue,8,0
2024-12-29,Maharashtra,Dharashiv,Dengue,8,0
2025-01-05,Maharashtra,Dharashiv,Dengue,7,0
2025-01-12,Maharashtra,Dharashiv,Dengue,6,0
2025-01-19,Maharashtra,Dharashiv,Dengue,6,0
2025-01-26,Maharashtra,Dharashiv,Dengue,5,0
2025-02-02,Maharashtra,Dharashiv,Dengue,1,0
2025-02-09,Maharashtra,Dharashiv,Dengue,7,0
2025-02-16,Maharashtra,Dharashiv,Dengue,1,0
2025-02-23,Maharashtra,Dharashiv,Dengue,5,0
2025-03-02,Maharashtra,Dharashiv,Dengue,8,0
2025-03-09,Maharashtra,Dharashiv,Dengue,7,0
2025-03-16,Maharashtra,Dharashiv,Dengue,3,0
2025-03-23,Maharashtra,Dharashiv,Dengue,5,0
2025-03-30,Maharashtra,Dharashiv,Dengue,9,0
2025-04-06,Maharashtra,Dharashiv,Dengue,8,0
2025-04-13,Maharashtra,Dharashiv,Dengue,7,0
2025-04-20,Maharashtra,Dharashiv,Dengue,9,0
2025-04-27,Maharashtra,Dharashiv,Dengue,13,0
2025-05-04,Maharashtra,Dharashiv,Dengue,13,0
2025-05-11,Maharashtra,Dharashiv,Dengue,20,0
2025-05-18,Maharashtra,Dharashiv,Dengue,18,0
2025-05-25,Maharashtra,Dharashiv,Dengue,20,0
2025-06-01,Maharashtra,Dharashiv,Dengue,21,0
2025-06-08,Maharashtra,Dharashiv,Dengue,141,5
2025-06-15,Maharashtra,Dharashiv,Dengue,25,0
2025-06-22,Maharashtra,Dharashiv,Dengue,25,0
2025-06-29,Maharashtra,Dharashiv,Dengue,137,5
2025-07-06,Maharashtra,Dharashiv,Dengue,31,1
2025-07-13,Maharashtra,Dharashiv,Dengue,31,0
2025-07-20,Maharashtra,Dharashiv,Dengue,34,0
2025-07-27,Maharashtra,Dharashiv,Dengue,34,0
2025-08-03,Maharashtra,Dharashiv,Dengue,35,1
2025-08-10,Maharashtra,Dharashiv,Dengue,34,0
2025-08-17,Maharashtra,Dharashiv,Dengue,35,0
2025-08-24,Maharashtra,Dharashiv,Dengue,35,1
2025-08-31,Maharashtra,Dharashiv,Dengue,31,0
2025-09-07,Maharashtra,Dharashiv,Dengue,34,0
2025-09-14,Maharashtra,Dharashiv,Dengue,32,0
2025-09-21,Maharashtra,Dharashiv,Dengue,33,1
2025-09-28,Maharashtra,Dharashiv,Dengue,28,1
2025-10-05,Maharashtra,Dharashiv,Dengue,29,1
2025-10-12,Maharashtra,Dharashiv,Dengue,28,0
2025-10-19,Maharashtra,Dharashiv,Dengue,28,1
2025-10-26,Maharashtra,Dharashiv,Dengue,25,0
2025-11-02,Maharashtra,Dharashiv,Dengue,23,0
2025-11-09,Maharashtra,Dharashiv,Dengue,22,0
2025-11-16,Maharashtra,Dharashiv,Dengue,19,0
2025-11-23,Maharashtra,Dharashiv,Dengue,16,0
2025-11-30,Maharashtra,Dharashiv,Dengue,16,0
2025-12-07,Maharashtra,Dharashiv,Dengue,15,0
2025-12-14,Maharashtra,Dharashiv,Dengue,12,0
2025-12-21,Maharashtra,Dharashiv,Dengue,10,0
2023-01-01,Maharashtra,Dharashiv,Malaria,56,1
2023-01-08,Maharashtra,Dharashiv,Malaria,17,0
2023-01-15,Maharashtra,Dharashiv,Malaria,12,0
2023-01-22,Maharashtra,Dharashiv,Malaria,13,0
2023-01-29,Maharashtra,Dharashiv,Malaria,9,0
2023-02-05,Maharashtra,Dharashiv,Malaria,4,0
2023-02-12,Maharashtra,Dharashiv,Malaria,4,0
2023-02-19,Maharashtra,Dharashiv,Malaria,5,0
2023-02-26,Maharashtra,Dharashiv,Malaria,8,0
2023-03-05,Maharashtra,Dharashiv,Malaria,4,0
2023-03-12,Maharashtra,Dharashiv,Malaria,2,0
2023-03-19,Maharashtra,Dharashiv,Malaria,8,0
2023-03-26,Maharashtra,Dharashiv,Malaria,6,0
2023-04-02,Maharashtra,Dharashiv,Malaria,8,0
2023-04-09,Maharashtra,Dharashiv,Malaria,7,0
2023-04-16,Maharashtra,Dharashiv,Malaria,9,0
2023-04-23,Maharashtra,Dharashiv,Malaria,10,0
2023-04-30,Maharashtra,Dharashiv,Malaria,7,0
2023-05-07,Maharashtra,Dharashiv,Malaria,10,0
2023-05-14,Maharashtra,Dharashiv,Malaria,14,0
2023-05-21,Maharashtra,Dharashiv,Malaria,13,0
2023-05-28,Maharashtra,Dharashiv,Malaria,14,0
2023-06-04,Maharashtra,Dharashiv,Malaria,17,0
2023-06-11,Maharashtra,Dharashiv,Malaria,15,0
2023-06-18,Maharashtra,Dharashiv,Malaria,19,0
2023-06-25,Maharashtra,Dharashiv,Malaria,19,0
2023-07-02,Maharashtra,Dharashiv,Malaria,20,0
2023-07-09,Maharashtra,Dharashiv,Malaria,26,0
2023-07-16,Maharashtra,Dharashiv,Malaria,25,1
2023-07-23,Maharashtra,Dharashiv,Malaria,24,1
2023-07-30,Maharashtra,Dharashiv,Malaria,31,0
2023-08-06,Maharashtra,Dharashiv,Malaria,31,1
2023-08-13,Maharashtra,Dharashiv,Malaria,34,1
2023-08-20,Maharashtra,Dharashiv,Malaria,32,0
2023-08-27,Maharashtra,Dharashiv,Malaria,37,0
2023-09-03,Maharashtra,Dharashiv,Malaria,36,1
2023-09-10,Maharashtra,Dharashiv,Malaria,32,1
2023-09-17,Maharashtra,Dharashiv,Malaria,37,1
2023-09-24,Maharashtra,Dharashiv,Malaria,31,1
2023-10-01,Maharashtra,Dharashiv,Malaria,37,0
2023-10-08,Maharashtra,Dharashiv,Malaria,35,0
2023-10-15,Maharashtra,Dharashiv,Malaria,35,0
2023-10-22,Maharashtra,Dharashiv,Malaria,34,0
2023-10-29,Maharashtra,Dharashiv,Malaria,27,1
2023-11-05,Maharashtra,Dharashiv,Malaria,30,0
2023-11-12,Maharashtra,Dharashiv,Malaria,24,0
2023-11-19,Maharashtra,Dharashiv,Malaria,25,1
2023-11-26,Maharashtra,Dharashiv,Malaria,24,0
2023-12-03,Maharashtra,Dharashiv,Malaria,22,0
2023-12-10,Maharashtra,Dharashiv,Malaria,22,0
2023-12-17,Maharashtra,Dharashiv,Malaria,17,0
2023-12-24,Maharashtra,Dharashiv,Malaria,16,0
2023-12-31,Maharashtra,Dharashiv,Malaria,13,0
2024-01-07,Maharashtra,Dharashiv,Malaria,14,0
2024-01-14,Maharashtra,Dharashiv,Malaria,15,0
2024-01-21,Maharashtra,Dharashiv,Malaria,10,0
2024-01-28,Maharashtra,Dharashiv,Malaria,9,0
2024-02-04,Maharashtra,Dharashiv,Malaria,8,0
2024-02-11,Maharashtra,Dharashiv,Malaria,4,0
2024-02-18,Maharashtra,Dharashiv,Malaria,2,0
2024-02-25,Maharashtra,Dharashiv,Malaria,7,0
2024-03-03,Maharashtra,Dharashiv,Malaria,2,0
2024-03-10,Maharashtra,Dharashiv,Malaria,6,0
2024-03-17,Maharashtra,Dharashiv,Malaria,8,0
2024-03-24,Maharashtra,Dharashiv,Malaria,6,0
2024-03-31,Maharashtra,Dharashiv,Malaria,8,0
2024-04-07,Maharashtra,Dharashiv,Malaria,7,0
2024-04-14,Maharashtra,Dharashiv,Malaria,6,0
2024-04-21,Maharashtra,Dharashiv,Malaria,10,0
2024-04-28,Maharashtra,Dharashiv,Malaria,8,0
2024-05-05,Maharashtra,Dharashiv,Malaria,9,0
2024-05-12,Maharashtra,Dharashiv,Malaria,8,0
2024-05-19,Maharashtra,Dharashiv,Malaria,16,0
2024-05-26,Maharashtra,Dharashiv,Malaria,17,0
2024-06-02,Maharashtra,Dharashiv,Malaria,18,0
2024-06-09,Maharashtra,Dharashiv,Malaria,21,0
2024-06-16,Maharashtra,Dharashiv,Malaria,19,0
2024-06-23,Maharashtra,Dharashiv,Malaria,21,0
2024-06-30,Maharashtra,Dharashiv,Malaria,23,0
2024-07-07,Maharashtra,Dharashiv,Malaria,24,0
2024-07-14,Maharashtra,Dharashiv,Malaria,29,0
2024-07-21,Maharashtra,Dharashiv,Malaria,31,1
2024-07-28,Maharashtra,Dharashiv,Malaria,25,0
2024-08-04,Maharashtra,Dharashiv,Malaria,30,0
2024-08-11,Maharashtra,Dharashiv,Malaria,35,1
2024-08-18,Maharashtra,Dharashiv,Malaria,34,0
2024-08-25,Maharashtra,Dharashiv,Malaria,34,0
2024-09-01,Maharashtra,Dharashiv,Malaria,33,0
2024-09-08,Maharashtra,Dharashiv,Malaria,32,0
2024-09-15,Maharashtra,Dharashiv,Malaria,35,1
2024-09-22,Maharashtra,Dharashiv,Malaria,34,1
2024-09-29,Maharashtra,Dharashiv,Malaria,34,0
2024-10-06,Maharashtra,Dharashiv,Malaria,30,1
2024-10-13,Maharashtra,Dharashiv,Malaria,29,1
2024-10-20,Maharashtra,Dharashiv,Malaria,30,1
2024-10-27,Maharashtra,Dharashiv,Malaria,28,1
2024-11-03,Maharashtra,Dharashiv,Malaria,32,0
2024-11-10,Maharashtra,Dharashiv,Malaria,24,0
2024-11-17,Maharashtra,Dharashiv,Malaria,23,0
2024-11-24,Maharashtra,Dharashiv,Malaria,22,0
2024-12-01,Maharashtra,Dharashiv,Malaria,21,0
2024-12-08,Maharashtra,Dharashiv,Malaria,21,0
2024-12-15,Maharashtra,Dharashiv,Malaria,22,0
2024-12-22,Maharashtra,Dharashiv,Malaria,17,0
2024-12-29,Maharashtra,Dharashiv,Malaria,18,0
2025-01-05,Maharashtra,Dharashiv,Malaria,17,0
2025-01-12,Maharashtra,Dharashiv,Malaria,15,0
2025-01-19,Maharashtra,Dharashiv,Malaria,7,0
2025-01-26,Maharashtra,Dharashiv,Malaria,7,0
2025-02-02,Maharashtra,Dharashiv,Malaria,7,0
2025-02-09,Maharashtra,Dharashiv,Malaria,7,0
2025-02-16,Maharashtra,Dharashiv,Malaria,4,0
2025-02-23,Maharashtra,Dharashiv,Malaria,2,0
2025-03-02,Maharashtra,Dharashiv,Malaria,7,0
2025-03-09,Maharashtra,Dharashiv,Malaria,8,0
2025-03-16,Maharashtra,Dharashiv,Malaria,4,0
2025-03-23,Maharashtra,Dharashiv,Malaria,5,0
2025-03-30,Maharashtra,Dharashiv,Malaria,8,0
2025-04-06,Maharashtra,Dharashiv,Malaria,4,0
2025-04-13,Maharashtra,Dharashiv,Malaria,5,0
2025-04-20,Maharashtra,Dharashiv,Malaria,6,0
2025-04-27,Maharashtra,Dharashiv,Malaria,8,0
2025-05-04,Maharashtra,Dharashiv,Malaria,7,0
2025-05-11,Maharashtra,Dharashiv,Malaria,11,0
2025-05-18,Maharashtra,Dharashiv,Malaria,13,0
2025-05-25,Maharashtra,Dharashiv,Malaria,17,0
2025-06-01,Maharashtra,Dharashiv,Malaria,18,0
2025-06-08,Maharashtra,Dharashiv,Malaria,21,0
2025-06-15,Maharashtra,Dharashiv,Malaria,22,0
2025-06-22,Maharashtra,Dharashiv,Malaria,17,0
2025-06-29,Maharashtra,Dharashiv,Malaria,19,0
2025-07-06,Maharashtra,Dharashiv,Malaria,25,0
2025-07-13,Maharashtra,Dharashiv,Malaria,24,0
2025-07-20,Maharashtra,Dharashiv,Malaria,28,0
2025-07-27,Maharashtra,Dharashiv,Malaria,32,1
2025-08-03,Maharashtra,Dharashiv,Malaria,33,0
2025-08-10,Maharashtra,Dharashiv,Malaria,30,0
2025-08-17,Maharashtra,Dharashiv,Malaria,33,1
2025-08-24,Maharashtra,Dharashiv,Malaria,30,0
2025-08-31,Maharashtra,Dharashiv,Malaria,35,0
2025-09-07,Maharashtra,Dharashiv,Malaria,30,1
2025-09-14,Maharashtra,Dharashiv,Malaria,37,0
2025-09-21,Maharashtra,Dharashiv,Malaria,37,1
2025-09-28,Maharashtra,Dharashiv,Malaria,33,0
2025-10-05,Maharashtra,Dharashiv,Malaria,34,0
2025-10-12,Maharashtra,Dharashiv,Malaria,30,0
2025-10-19,Maharashtra,Dharashiv,Malaria,31,1
2025-10-26,Maharashtra,Dharashiv,Malaria,27,0
2025-11-02,Maharashtra,Dharashiv,Malaria,26,0
2025-11-09,Maharashtra,Dharashiv,Malaria,26,0
2025-11-16,Maharashtra,Dharashiv,Malaria,26,0
2025-11-23,Maharashtra,Dharashiv,Malaria,28,0
2025-11-30,Maharashtra,Dharashiv,Malaria,25,0
2025-12-07,Maharashtra,Dharashiv,Malaria,19,0
2025-12-14,Maharashtra,Dharashiv,Malaria,20,0
2025-12-21,Maharashtra,Dharashiv,Malaria,20,0
2023-01-01,Maharashtra,Dharashiv,Typhoid,37,1
2023-01-08,Maharashtra,Dharashiv,Typhoid,38,1
2023-01-15,Maharashtra,Dharashiv,Typhoid,35,0
2023-01-22,Maharashtra,Dharashiv,Typhoid,30,0
2023-01-29,Maharashtra,Dharashiv,Typhoid,25,1
2023-02-05,Maharashtra,Dharashiv,Typhoid,25,0
2023-02-12,Maharashtra,Dharashiv,Typhoid,16,0
2023-02-19,Maharashtra,Dharashiv,Typhoid,20,0
2023-02-26,Maharashtra,Dharashiv,Typhoid,17,0
2023-03-05,Maharashtra,Dharashiv,Typhoid,11,0
2023-03-12,Maharashtra,Dharashiv,Typhoid,7,0
2023-03-19,Maharashtra,Dharashiv,Typhoid,10,0
2023-03-26,Maharashtra,Dharashiv,Typhoid,11,0
2023-04-02,Maharashtra,Dharashiv,Typhoid,10,0
2023-04-09,Maharashtra,Dharashiv,Typhoid,5,0
2023-04-16,Maharashtra,Dharashiv,Typhoid,7,0
2023-04-23,Maharashtra,Dharashiv,Typhoid,9,0
2023-04-30,Maharashtra,Dharashiv,Typhoid,8,0
2023-05-07,Maharashtra,Dharashiv,Typhoid,10,0
2023-05-14,Maharashtra,Dharashiv,Typhoid,12,0
2023-05-21,Maharashtra,Dharashiv,Typhoid,7,0
2023-05-28,Maharashtra,Dharashiv,Typhoid,12,0
2023-06-04,Maharashtra,Dharashiv,Typhoid,15,0
2023-06-11,Maharashtra,Dharashiv,Typhoid,14,0
2023-06-18,Maharashtra,Dharashiv,Typhoid,17,0
2023-06-25,Maharashtra,Dharashiv,Typhoid,20,0
2023-07-02,Maharashtra,Dharashiv,Typhoid,26,1
2023-07-09,Maharashtra,Dharashiv,Typhoid,160,3
2023-07-16,Maharashtra,Dharashiv,Typhoid,31,0
2023-07-23,Maharashtra,Dharashiv,Typhoid,33,0
2023-07-30,Maharashtra,Dharashiv,Typhoid,39,1
2023-08-06,Maharashtra,Dharashiv,Typhoid,38,0
2023-08-13,Maharashtra,Dharashiv,Typhoid,46,0
2023-08-20,Maharashtra,Dharashiv,Typhoid,282,10
2023-08-27,Maharashtra,Dharashiv,Typhoid,51,2
2023-09-03,Maharashtra,Dharashiv,Typhoid,50,1
2023-09-10,Maharashtra,Dharashiv,Typhoid,52,1
2023-09-17,Maharashtra,Dharashiv,Typhoid,56,2
2023-09-24,Maharashtra,Dharashiv,Typhoid,57,1
2023-10-01,Maharashtra,Dharashiv,Typhoid,56,0
2023-10-08,Maharashtra,Dharashiv,Typhoid,58,1
2023-10-15,Maharashtra,Dharashiv,Typhoid,53,2
2023-10-22,Maharashtra,Dharashiv,Typhoid,56,2
2023-10-29,Maharashtra,Dharashiv,Typhoid,57,1
2023-11-05,Maharashtra,Dharashiv,Typhoid,55,2
2023-11-12,Maharashtra,Dharashiv,Typhoid,52,1
2023-11-19,Maharashtra,Dharashiv,Typhoid,48,1
2023-11-26,Maharashtra,Dharashiv,Typhoid,51,2
2023-12-03,Maharashtra,Dharashiv,Typhoid,48,1
2023-12-10,Maharashtra,Dharashiv,Typhoid,45,0
2023-12-17,Maharashtra,Dharashiv,Typhoid,44,1
2023-12-24,Maharashtra,Dharashiv,Typhoid,38,0
2023-12-31,Maharashtra,Dharashiv,Typhoid,40,1
2024-01-07,Maharashtra,Dharashiv,Typhoid,36,1
2024-01-14,Maharashtra,Dharashiv,Typhoid,28,0
2024-01-21,Maharashtra,Dharashiv,Typhoid,30,1
2024-01-28,Maharashtra,Dharashiv,Typhoid,27,0
2024-02-04,Maharashtra,Dharashiv,Typhoid,23,0
2024-02-11,Maharashtra,Dharashiv,Typhoid,20,0
2024-02-18,Maharashtra,Dharashiv,Typhoid,18,0
2024-02-25,Maharashtra,Dharashiv,Typhoid,14,0
2024-03-03,Maharashtra,Dharashiv,Typhoid,14,0
2024-03-10,Maharashtra,Dharashiv,Typhoid,10,0
2024-03-17,Maharashtra,Dharashiv,Typhoid,12,0
2024-03-24,Maharashtra,Dharashiv,Typhoid,8,0
2024-03-31,Maharashtra,Dharashiv,Typhoid,4,0
2024-04-07,Maharashtra,Dharashiv,Typhoid,3,0
2024-04-14,Maharashtra,Dharashiv,Typhoid,10,0
2024-04-21,Maharashtra,Dharashiv,Typhoid,6,0
2024-04-28,Maharashtra,Dharashiv,Typhoid,5,0
2024-05-05,Maharashtra,Dharashiv,Typhoid,9,0
2024-05-12,Maharashtra,Dharashiv,Typhoid,11,0
2024-05-19,Maharashtra,Dharashiv,Typhoid,9,0
2024-05-26,Maharashtra,Dharashiv,Typhoid,10,0
2024-06-02,Maharashtra,Dharashiv,Typhoid,17,0
2024-06-09,Maharashtra,Dharashiv,Typhoid,17,0
2024-06-16,Maharashtra,Dharashiv,Typhoid,74,2
2024-06-23,Maharashtra,Dharashiv,Typhoid,24,0
2024-06-30,Maharashtra,Dharashiv,Typhoid,27,0
2024-07-07,Maharashtra,Dharashiv,Typhoid,25,1
2024-07-14,Maharashtra,Dharashiv,Typhoid,29,1
2024-07-21,Maharashtra,Dharashiv,Typhoid,31,0
2024-07-28,Maharashtra,Dharashiv,Typhoid,35,1
2024-08-04,Maharashtra,Dharashiv,Typhoid,39,1
2024-08-11,Maharashtra,Dharashiv,Typhoid,42,0
2024-08-18,Maharashtra,Dharashiv,Typhoid,42,0
2024-08-25,Maharashtra,Dharashiv,Typhoid,46,1
2024-09-01,Maharashtra,Dharashiv,Typhoid,47,1
2024-09-08,Maharashtra,Dharashiv,Typhoid,146,4
2024-09-15,Maharashtra,Dharashiv,Typhoid,208,8
2024-09-22,Maharashtra,Dharashiv,Typhoid,52,1
2024-09-29,Maharashtra,Dharashiv,Typhoid,53,1
2024-10-06,Maharashtra,Dharashiv,Typhoid,52,2
2024-10-13,Maharashtra,Dharashiv,Typhoid,57,1
2024-10-20,Maharashtra,Dharashiv,Typhoid,52,2
2024-10-27,Maharashtra,Dharashiv,Typhoid,58,2
2024-11-03,Maharashtra,Dharashiv,Typhoid,58,0
2024-11-10,Maharashtra,Dharashiv,Typhoid,52,0
2024-11-17,Maharashtra,Dharashiv,Typhoid,53,1
2024-11-24,Maharashtra,Dharashiv,Typhoid,50,1
2024-12-01,Maharashtra,Dharashiv,Typhoid,45,1
2024-12-08,Maharashtra,Dharashiv,Typhoid,45,1
2024-12-15,Maharashtra,Dharashiv,Typhoid,45,1
2024-12-22,Maharashtra,Dharashiv,Typhoid,42,1
2024-12-29,Maharashtra,Dharashiv,Typhoid,38,1
2025-01-05,Maharashtra,Dharashiv,Typhoid,33,1
2025-01-12,Maharashtra,Dharashiv,Typhoid,28,1
2025-01-19,Maharashtra,Dharashiv,Typhoid,25,0
2025-01-26,Maharashtra,Dharashiv,Typhoid,24,0
2025-02-02,Maharashtra,Dharashiv,Typhoid,24,0
2025-02-09,Maharashtra,Dharashiv,Typhoid,22,0
2025-02-16,Maharashtra,Dharashiv,Typhoid,17,0
2025-02-23,Maharashtra,Dharashiv,Typhoid,16,0
2025-03-02,Maharashtra,Dharashiv,Typhoid,12,0
2025-03-09,Maharashtra,Dharashiv,Typhoid,14,0
2025-03-16,Maharashtra,Dharashiv,Typhoid,6,0
2025-03-23,Maharashtra,Dharashiv,Typhoid,9,0
2025-03-30,Maharashtra,Dharashiv,Typhoid,7,0
2025-04-06,Maharashtra,Dharashiv,Typhoid,9,0
2025-04-13,Maharashtra,Dharashiv,Typhoid,3,0
2025-04-20,Maharashtra,Dharashiv,Typhoid,7,0
2025-04-27,Maharashtra,Dharashiv,Typhoid,10,0
2025-05-04,Maharashtra,Dharashiv,Typhoid,9,0
2025-05-11,Maharashtra,Dharashiv,Typhoid,30,0
2025-05-18,Maharashtra,Dharashiv,Typhoid,7,0
2025-05-25,Maharashtra,Dharashiv,Typhoid,12,0
2025-06-01,Maharashtra,Dharashiv,Typhoid,18,0
2025-06-08,Maharashtra,Dharashiv,Typhoid,18,0
2025-06-15,Maharashtra,Dharashiv,Typhoid,21,0
2025-06-22,Maharashtra,Dharashiv,Typhoid,20,0
2025-06-29,Maharashtra,Dharashiv,Typhoid,24,0
2025-07-06,Maharashtra,Dharashiv,Typhoid,25,0
2025-07-13,Maharashtra,Dharashiv,Typhoid,35,1
2025-07-20,Maharashtra,Dharashiv,Typhoid,34,1
2025-07-27,Maharashtra,Dharashiv,Typhoid,39,0
2025-08-03,Maharashtra,Dharashiv,Typhoid,43,1
2025-08-10,Maharashtra,Dharashiv,Typhoid,42,1
2025-08-17,Maharashtra,Dharashiv,Typhoid,42,0
2025-08-24,Maharashtra,Dharashiv,Typhoid,46,1
2025-08-31,Maharashtra,Dharashiv,Typhoid,47,0
2025-09-07,Maharashtra,Dharashiv,Typhoid,50,0
2025-09-14,Maharashtra,Dharashiv,Typhoid,53,1
2025-09-21,Maharashtra,Dharashiv,Typhoid,56,0
2025-09-28,Maharashtra,Dharashiv,Typhoid,52,1
2025-10-05,Maharashtra,Dharashiv,Typhoid,53,2
2025-10-12,Maharashtra,Dharashiv,Typhoid,59,2
2025-10-19,Maharashtra,Dharashiv,Typhoid,53,1
2025-10-26,Maharashtra,Dharashiv,Typhoid,54,2
